layer,pair_id,language,pc1,pc2
1,87,French,-3.8360838890075684,1.5378581285476685
1,88,English,3.2959413528442383,2.0764946937561035
1,88,French,-4.454793453216553,3.5974714756011963
1,89,English,3.0269100666046143,1.8148117065429688
1,89,French,-1.2986193895339966,2.563934803009033
1,90,English,3.359565019607544,2.581401824951172
1,90,French,-4.602402687072754,3.182628631591797
1,91,English,3.078155040740967,1.9269988536834717
1,91,French,-4.47121524810791,2.226003646850586
1,92,English,3.486401081085205,0.045548584312200546
1,92,French,-3.223618268966675,1.1601464748382568
1,93,English,3.356454372406006,1.2831804752349854
1,93,French,-3.028104066848755,2.6970295906066895
1,94,English,3.2233121395111084,1.4739619493484497
1,94,French,-4.452592372894287,1.904557466506958
1,95,English,2.4689691066741943,2.3727734088897705
1,95,French,-2.568349838256836,3.0602524280548096
1,96,English,2.4948348999023438,-0.16182301938533783
1,96,French,-2.5698318481445312,1.081371545791626
1,97,English,3.3672986030578613,-0.8800743222236633
1,97,French,-3.8704354763031006,-0.47979333996772766
1,98,English,3.427490472793579,2.1416969299316406
1,98,French,-1.4061216115951538,1.9108576774597168
1,99,English,2.854008436203003,1.980602502822876
1,99,French,-2.4548187255859375,3.139374256134033
1,100,English,3.4721667766571045,-2.5443222522735596
1,100,French,-2.0192904472351074,-4.089938163757324
1,101,English,3.3636820316314697,1.853852391242981
1,101,French,-4.088095188140869,2.2324154376983643
1,102,English,2.2296969890594482,-3.682403564453125
1,102,French,1.5465878248214722,-3.02397084236145
1,103,English,3.5878865718841553,-1.8747875690460205
1,103,French,-2.3994269371032715,-3.476707696914673
1,104,English,3.699310064315796,-2.051007032394409
1,104,French,-1.6446253061294556,-3.3636107444763184
1,105,English,2.215527296066284,-3.4746804237365723
1,105,French,0.16892538964748383,-6.198568344116211
1,106,English,3.498039484024048,1.4111981391906738
1,106,French,-3.10463547706604,1.5088090896606445
1,107,English,3.3770134449005127,-0.6711832284927368
1,107,French,-2.9674320220947266,-0.1839718520641327
1,108,English,3.6437559127807617,-1.845717430114746
1,108,French,-3.903838634490967,-4.27923583984375
1,109,English,3.378200054168701,-1.7434345483779907
1,109,French,-3.0102102756500244,-0.6652355790138245
1,110,English,2.9386613368988037,2.222257614135742
1,110,French,-5.3074727058410645,0.22198054194450378
1,111,English,2.6839873790740967,1.1678502559661865
1,111,French,-2.0462183952331543,-0.2836318612098694
1,112,English,2.9531421661376953,1.3692340850830078
1,112,French,-2.393998622894287,2.816253662109375
1,113,English,2.8715715408325195,-0.40963098406791687
1,113,French,-1.770206332206726,-0.6597685813903809
1,114,English,3.3669989109039307,-3.2678940296173096
1,114,French,-1.838155746459961,-2.2066996097564697
1,115,English,2.666982650756836,1.294211506843567
1,115,French,-3.2047300338745117,2.7311482429504395
1,116,English,4.135693550109863,-1.9190219640731812
1,116,French,-3.8480374813079834,-3.913909912109375
1,117,English,3.2130775451660156,0.8661478161811829
1,117,French,-4.086922645568848,0.9639927744865417
1,118,English,2.540513038635254,2.755861282348633
1,118,French,-3.4267818927764893,2.350534439086914
1,119,English,3.4888246059417725,2.0141000747680664
1,119,French,-4.936124801635742,3.7135536670684814
1,120,English,3.8225655555725098,-0.5224504470825195
1,120,French,-1.8611934185028076,1.3338514566421509
1,121,English,2.884948253631592,0.45232343673706055
1,121,French,-0.5700204372406006,0.8694523572921753
1,122,English,0.8568075299263,0.7640645503997803
1,122,French,-2.264671564102173,1.40081787109375
1,123,English,3.5100274085998535,-2.166952610015869
1,123,French,-2.4117801189422607,-3.1921751499176025
1,124,English,2.2785916328430176,-1.7454437017440796
1,124,French,-2.912348985671997,-2.592754364013672
1,125,English,4.029991626739502,-1.1983927488327026
1,125,French,-2.158003807067871,-2.0908262729644775
1,126,English,3.9992685317993164,-2.3573853969573975
1,126,French,-5.588351249694824,-9.322504043579102
1,127,English,3.4902119636535645,1.813045859336853
1,127,French,-3.2520251274108887,2.3416504859924316
1,128,English,2.51143217086792,0.4724385738372803
1,128,French,-2.308985710144043,0.9592907428741455
1,129,English,3.1188602447509766,2.8420042991638184
1,129,French,-4.8112053871154785,3.660902738571167
1,130,English,2.648587703704834,1.8572138547897339
1,130,French,-4.412822723388672,3.6379201412200928
1,131,English,2.9962100982666016,1.8775298595428467
1,131,French,-2.9172580242156982,3.0716991424560547
1,132,English,2.93709659576416,1.416040062904358
1,132,French,-3.482118844985962,3.3131966590881348
1,133,English,3.483630418777466,1.7079782485961914
1,133,French,-4.603297710418701,1.838979959487915
1,134,English,2.806293487548828,1.3914042711257935
1,134,French,-3.1411168575286865,2.380711078643799
1,135,English,2.785051107406616,1.9541971683502197
1,135,French,-3.389719247817993,2.946437358856201
1,136,English,1.7492311000823975,-1.4643415212631226
1,136,French,-0.19861061871051788,-1.3092502355575562
1,137,English,3.111966848373413,-1.4933531284332275
1,137,French,-2.0980937480926514,-0.6151342988014221
